Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
लोन टेन्योर क्या है?,मासिक भुगतान की राशि,वह समय अवधि जिसमें आप लोन चुकाते हैं,लेंडर द्वारा लिया गया शुल्क,ब्याज की राशि,B,Easy,Basics of Loans,Loan Fundamentals
लोन पर डिफॉल्ट क्या है?,आपके लोन को सफलतापूर्वक चुकाना,लोन का जल्दी भुगतान,आवश्यक लोन भुगतान करने में विफलता,लेंडर द्वारा दी गई छूट,C,Easy,Basics of Loans,Repayment Obligations
भारत में आप सुरक्षित रूप से कहां से पैसे उधार ले सकते हैं?,ऊंची दरों पर बिना लाइसेंस वाले साहूकारों से,केवल दोस्तों और परिवार से बिना किसी समझौते के,आरबीआई द्वारा विनियमित बैंक। NBFC या सरकारी माइक्रोफाइनेंस प्रोग्राम (स्थानीय साहूकारों से बेहतर),कोई सुरक्षित जगह नहीं है,C,Easy,Basics of Loans,Safe Borrowing Options
इंस्टॉलमेंट क्रेडिट क्या है?,एक लोन जो समय के साथ बढ़ता है,एक निश्चित राशि उधार लेना जो समान किश्तों में चुकाया जाता है,केवल आपात स्थिति के लिए दिया गया क्रेडिट,बिना ब्याज वाला क्रेडिट कार्ड,B,Easy,Basics of Loans,Types of Loans
लोन क्या है?,लेंडर से उधार लिया गया पैसा जो ब्याज के साथ चुकाना होता है,उपहार के रूप में दिया गया पैसा,बैंक खाते में बचाया गया पैसा,नौकरी से कमाया गया पैसा,A,Easy,Basics of Loans,Loan Fundamentals
इनमें से कौन सा एक प्रकार का लोन है?,मासिक वेतन,विरासत,कार लोन,निवेश रिटर्न,C,Easy,Basics of Loans,Types of Loans
लोन पर ब्याज क्या है?,एक बार लिया जाने वाला शुल्क,उधार लेने के लिए आप जो अतिरिक्त पैसा चुकाते हैं,लेंडर द्वारा बोनस के रूप में दिया गया पैसा,आपके द्वारा उधार ली गई राशि,B,Easy,Basics of Loans,Loan Costs
लोन पर ग्रेस पीरियड क्या है?,एक बार शुल्क माफी,भुगतान करने से पहले अतिरिक्त समय,वह अवधि जब कोई ब्याज नहीं लगता,आपकी ब्याज दर पर छूट,B,Easy,Basics of Loans,Loan Costs
रिवॉल्विंग क्रेडिट क्या है?,क्रेडिट जिसे आप उपयोग करते हैं। वापस चुकाते हैं और फिर से उपयोग कर सकते हैं,एक लोन जो स्वचालित रूप से नवीनीकृत होता है,संकट के लिए आपातकालीन क्रेडिट,केवल एक बार दिया गया क्रेडिट,A,Medium,Basics of Loans,Types of Loans
अगर आप लोन नहीं चुकाते हैं तो क्या होता है?,आपका क्रेडिट स्कोर कम हो जाता है और आपको कानूनी कार्रवाई का सामना करना पड़ सकता है,आपको बैंक से बोनस मिलता है,कुछ नहीं होता,आप और पैसे उधार ले सकते हैं,A,Medium,Basics of Loans,Repayment Obligations
रीपेमेंट शेड्यूल क्या है?,आपके पसंदीदा टीवी शो की सूची,एक योजना जो दिखाती है कि आप हर महीने कब और कितना वापस चुकाते हैं,आपके लोन पर छूट,एक प्रकार का लोन,B,Medium,Basics of Loans,Loan Fundamentals
लोन में प्रिंसिपल अमाउंट क्या है?,हर महीने चुकाया गया ब्याज,चुकाई गई कुल राशि,बैंक द्वारा लिया गया शुल्क,उधार ली गई मूल राशि,D,Medium,Basics of Loans,Loan Fundamentals
लोन लेने से पहले आपको क्या विचार करना चाहिए?,लोन अधिकारी के कार्यालय का रंग,कुछ नहीं - बस उधार लें और बाद में चिंता करें,ब्याज दर। लोन टेन्योर और क्या आप मासिक EMI भुगतान कर सकते हैं,केवल आपको कितने पैसे चाहिए,C,Medium,Basics of Loans,Practical Borrowing Tips
EMI का क्या मतलब है?,Equal Money Investment,Extra Monthly Income,Equated Monthly Installment,Emergency Medical Insurance,C,Medium,Basics of Loans,Loan Costs
लोन रिफाइनेंसिंग क्या है?,अपने लोन को जल्दी चुकाना,अपने मौजूदा लोन में और पैसा जोड़ना,मौजूदा लोन को नए लोन से बदलना। आमतौर पर बेहतर शर्तों पर,छूट के लिए अपने लेंडर से बातचीत करना,C,Medium,Basics of Loans,Loan Costs
अगर आप लोन नहीं चुकाते तो आपकी कोलैटरल का क्या होता है?,बैंक इसे बिना किसी कारण के हमेशा के लिए रखता है,बैंक इसे ले सकता है और आपके बकाया पैसे की वसूली के लिए बेच सकता है,आप इसे वैसे भी रख सकते हैं,बैंक आपको और पैसा देता है,B,Hard,Basics of Loans,Repayment Obligations
अनसिक्योर्ड लोन क्या है?,एक लोन जिसमें कोलैटरल की आवश्यकता नहीं होती,बिना लेंडर का लोन,बहुत कम ब्याज वाला लोन,एक लोन जो चोरी हो सकता है,A,Hard,Basics of Loans,Types of Loans
लोन पर डिफॉल्ट के क्या परिणाम होते हैं?,आप और पैसे उधार ले सकते हैं,कुछ नहीं होता,आपको बैंक से पुरस्कार मिलता है,क्षतिग्रस्त क्रेडिट स्कोर। कानूनी कार्रवाई। संपत्ति की जब्ती और भविष्य में लोन मिलने में कठिनाई,D,Hard,Basics of Loans,Repayment Obligations
