Question Number,Difficulty Level,Topic,Question,Option A,Option B,Option C,Correct Answer,Correct Answer Commentary,Incorrect Answer Commentary,Hint
1,Easy,Loan Basics,What is the term for the original amount of money borrowed in a loan?,Interest,Principal,Collateral,B,Right! The principal is the core amount you borrow before any interest or fees. It's the foundation of your entire loan.,The principal is actually the starting amount of money you borrow. Understanding this helps you see how interest gets calculated on top of it.,Think about the base amount before anything else is added.
2,Easy,Loan Basics,What is the cost of borrowing money called?,Principal,Loan Term,Interest,C,Exactly! Interest is what the lender charges you for lending money. It's basically the price you pay for borrowing.,Interest is the extra cost for borrowing money. The principal stays the same - interest is what gets added on top.,It's the additional amount you pay back on top of the principal.
3,Easy,Loan Basics,Which of the following is an example of collateral for a loan?,A borrower's signature,A car,A good credit score,B,"Perfect! A car is a physical asset that can secure a loan. If you don't repay, the lender can take the car.",Collateral needs to be something valuable and physical that a lender can take if you don't pay back. A signature isn't collateral - a car is.,This is a valuable asset used to secure the loan.
4,Medium,Loan Basics,What is amortization in simple terms?,The process of paying off a loan over time,A type of interest rate,A penalty for early repayment,A,Spot on! Amortization is how your loan payments are spread out over the years. Each payment chips away at what you owe.,Amortization is the schedule of payments over time. It's not a penalty or a rate - it's the plan for paying back the entire loan gradually.,It's how your loan payments are structured and spread out over the years.
5,Medium,Loan Basics,What does it mean to default on a loan?,To negotiate lower payments,To fail to repay according to the agreed terms,To refinance the loan,B,You got it! Defaulting means you've broken the loan agreement by not paying. This has serious consequences for your credit.,Defaulting is when you stop paying as promised. It's not about negotiating or refinancing - it's about breaking the agreement.,This is what happens when borrowers don't meet their payment obligations.
6,Hard,Loan Basics,In a fixed-rate loan versus a variable-rate loan over 10 years which typically costs less overall if interest rates fall?,Fixed-rate loan,Variable-rate loan,It depends on the lender,B,Great analysis! With falling rates a variable-rate loan saves you money because your rate drops. Fixed stays the same.,If rates fall the variable-rate loan becomes cheaper because your interest rate decreases over time. The fixed rate stays locked in.,Think about what happens when interest rates in the economy go down.
7,Easy,What Lenders Look For,What do lenders primarily evaluate when you apply for a loan?,Your age,Your income stability and credit history,Your marital status,B,Exactly right! Lenders care most about whether you can repay. Your income and credit history prove you're reliable.,Lenders need to know if you can actually pay the money back. Income stability and credit history show your track record.,Lenders need to know if you can repay.
8,Easy,What Lenders Look For,What is debt-to-income ratio?,Your total assets,Your monthly debt payments compared to income,Your savings account balance,B,Perfect! This ratio shows lenders how much of your income goes to debt. If it's too high you look risky.,The debt-to-income ratio is monthly debt compared to monthly income. Lenders use it to see if you're overextended with debt.,Lenders use this to see if you can afford new debt.
9,Easy,What Lenders Look For,Why do lenders check your employment history?,For curiosity,To verify income stability,To judge your personality,B,Spot on! Stable employment means reliable income. Job-hopping raises red flags for lenders.,Employment history shows lenders if your income is stable and dependable. A steady job is a huge positive sign.,Stable employment suggests reliable income.
10,Medium,What Lenders Look For,What is a co-signer and why would you need one?,Someone who pays the loan for you,Someone who agrees to be legally responsible if you default,Your accountant,B,You've got it! A co-signer takes on responsibility if you can't pay. They're vouching for you with their own credit.,A co-signer is someone with better credit who promises to repay if you don't. They're putting their reputation on the line for you.,They share the legal responsibility for the debt.
