Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Topic,Subtopic
बजट प्लानर या बचत कैलकुलेटर का इस्तेमाल करके आप अपने पैसों की सुरक्षा कैसे कर सकते हैं?,बजट प्लानर का कोई फायदा नहीं होता,आप खुद अपने पैसों का हिसाब नहीं रख सकते,ये सिर्फ अमीर लोगों के लिए काम करते हैं,खर्चों पर नज़र रखें। लक्ष्य तय करें और देखें हर महीने कितना बचा सकते हैं,D,Easy,Basics of Saving,Practical Tools
पैसे बचाना क्यों ज़रूरी है?,आपातकाल के लिए। भविष्य के लक्ष्यों के लिए और आर्थिक सुरक्षा के लिए,ताकि बाद में ज़्यादा खर्च कर सकें,क्योंकि बैंक आपको मजबूर करता है,अपने दोस्तों को प्रभावित करने के लिए,A,Easy,Basics of Saving,Save Regularly
बचत क्या है?,दूसरों को पैसे देना,दोस्तों से पैसे उधार लेना,अपना सारा पैसा तुरंत खर्च कर देना,भविष्य में इस्तेमाल के लिए नियमित रूप से पैसे अलग रखना,D,Easy,Basics of Saving,Save Regularly
बजटिंग क्या है?,सभी खर्चों से बचना,अपना सारा पैसा एक जगह रखना,अपने पैसे कैसे खर्च करेंगे उसकी योजना बनाना,दूसरों को पैसे उधार देना,C,Easy,Basics of Saving,Spending Discipline
बचत खाता क्या होता है?,एक बैंक खाता जहाँ आप पैसा जमा कर सकते हैं और ब्याज कमा सकते हैं,क्रेडिट कार्ड खाता,घर पर नकद रखने की जगह,शेयरों के लिए निवेश खाता,A,Easy,Basics of Saving,Save Regularly
आपातकालीन फंड क्या है?,शेयरों में लगाया गया पैसा,परिवार के सदस्यों को दिया गया पैसा,अचानक आने वाले खर्चों या आपात स्थिति के लिए बचाया गया पैसा,छुट्टी के लिए बचाया गया पैसा,C,Easy,Basics of Saving,Emergency Planning
अपने पैसे को बढ़ाने का सुरक्षित तरीका कौन सा है?,लॉटरी टिकट खरीदना,अपना सारा पैसा दोस्तों को उधार देना,आरबीआई-बीमित बचत खाते और HDFC ICICI SBI जैसे बैंकों में FD,अपने गद्दे के नीचे नकद रखना,C,Easy,Basics of Saving,Money Protection
आपातकालीन खर्च क्या है?,योजनाबद्ध छुट्टियाँ,खरीदारी और मनोरंजन,अचानक आने वाले ज़रूरी खर्च जैसे इलाज के बिल या गाड़ी की मरम्मत,नियमित मासिक बिल,C,Easy,Basics of Saving,Emergency Planning
फिक्स्ड खर्चे क्या होते हैं?,मनोरंजन पर खर्च किया गया पैसा,उपहार के रूप में दिया गया पैसा,ऐसे खर्चे जो हर महीने बदलते रहते हैं,नियमित खर्चे जो हर महीने समान रहते हैं जैसे किराया या बिजली-पानी का बिल,D,Medium,Basics of Saving,Spending Discipline
आपातकालीन फंड में कितना पैसा होना चाहिए?,1 साल के खर्चे,आपकी सारी बचत,3-6 महीने के जीवन-यापन के खर्चे,1 महीने के खर्चे,C,Medium,Basics of Saving,Emergency Planning
अपनी आमदनी के भीतर रहने का क्या मतलब है?,आप जितना कमाते हैं उससे कम या बराबर खर्च करना,नियमित रूप से पैसे उधार लेना,जितना हो सके उतना खर्च करना,कभी कोई पैसा न खर्च करना,A,Medium,Basics of Saving,Spending Discipline
वेरिएबल खर्चे क्या होते हैं?,ऐसे खर्चे जो कभी नहीं बदलते,मासिक वेतन से कटौती,बीमा द्वारा भुगतान किए गए खर्चे,ऐसे खर्चे जो महीने-दर-महीने बदलते रहते हैं जैसे राशन या मनोरंजन,D,Medium,Basics of Saving,Spending Discipline
आप अपने मासिक खर्चे कैसे कम कर सकते हैं?,खर्चों पर नज़र रखें। फालतू खर्चे काटें और छूट खोजें,इसके बजाय पैसे उधार लें,कभी कुछ न खरीदें,हर चीज़ पर ज़्यादा खर्च करें,A,Hard,Basics of Saving,Spending Discipline
कम आमदनी के साथ आप बचत कैसे शुरू कर सकते हैं?,बचत के लिए पैसे उधार लें,जो भी बचा सकें बचाएं। भले ही नियमित रूप से थोड़ी सी राशि हो - दिहाड़ी मज़दूरों और गिग वर्कर्स के लिए आम,तभी बचाएं जब अतिरिक्त पैसा हो,तब तक इंतज़ार करें जब तक ज़्यादा न कमाएं,B,Hard,Basics of Saving,Save Regularly
50/30/20 बजटिंग नियम क्या है?,50% बचत। 30% खर्च। 20% निवेश,50% ज़रूरतें। 30% इच्छाएं। 20% बचत और कर्ज चुकाना,50% इच्छाएं। 30% ज़रूरतें। 20% बचत,50% निवेश। 30% खर्च। 20% बचत,B,Hard,Basics of Saving,Save Regularly
कौन सी सरकारी योजना आपके परिवार के भविष्य के लिए बचत में मदद कर सकती है?,कोई सरकारी बचत योजना नहीं है,सिर्फ प्राइवेट बैंक ही बचत के विकल्प देते हैं,बचत योजनाएं केवल सरकारी कर्मचारियों के लिए हैं,PMJDY (प्रधानमंत्री जन धन योजना) लाभ के साथ बुनियादी बैंक खाते प्रदान करती है,D,Hard,Basics of Saving,Government Resources
धन निर्माण क्या है?,अपनी कमाई से ज़्यादा खर्च करना,जल्दी अमीर बन जाना,केवल अमीर लोगों के लिए,संपत्ति जमा करने और शुद्ध मूल्य बढ़ाने की एक दीर्घकालिक प्रक्रिया,D,Easy,How to Grow Your Money,Goal Setting
महंगाई क्या है?,समय के साथ वस्तुओं और सेवाओं की कीमतों में वृद्धि,आपके वेतन में वृद्धि,कीमतों में कमी,एक प्रकार का निवेश,A,Easy,How to Grow Your Money,Income Sources
वित्तीय लक्ष्य क्या है?,एक कर्ज़ जिसे आपको चुकाना है,मनोरंजन पर खर्च किया गया पैसा,वह राशि जो आपका बॉस आपको देता है,एक विशिष्ट राशि जो आप एक निश्चित तारीख तक बचाना या कमाना चाहते हैं,D,Easy,How to Grow Your Money,Goal Setting
