Question Number,Difficulty Level,Topic HI,Question HI,Option A HI,Option B HI,Option C HI,Correct Answer,Correct Answer Commentary HI,Incorrect Answer Commentary HI,Hint HI
1,Easy,लोन की बेसिक बातें,लोन में उधार ली गई मूल रक़म को क्या कहते हैं?,ब्याज़,असल रक़म (प्रिंसिपल),गिरवी (कोलैटरल),B,सही! प्रिंसिपल यानी वो असली रक़म जो आपने किसी भी ब्याज़ या फीस से पहले उधार ली है। यही आपके पूरे लोन का आधार है।,असल में प्रिंसिपल वो शुरुआती रक़म है जो आप उधार लेते हैं। यह समझने से आपको पता चलता है कि इस रक़म पर ब्याज़ कैसे जोड़ा जाता है।,सोचिए कि ब्याज़ जुड़ने से पहले वाली रक़म क्या होती है।
2,Easy,लोन की बेसिक बातें,पैसे उधार लेने की लागत (cost) को क्या कहते हैं?,असल रक़म (प्रिंसिपल),लोन की अवधि,ब्याज़ (इंटरेस्ट),C,बिल्कुल! ब्याज़ वो चार्ज है जो लेंडर आपसे पैसे उधार देने के लिए लेता है। यह उधार लेने की कीमत है।,ब्याज़ पैसे उधार लेने का एक्स्ट्रा चार्ज है। प्रिंसिपल वही रहता है - ब्याज़ उसके ऊपर जुड़ता जाता है।,यह वो एक्स्ट्रा पैसा है जो आप मूल रक़म के ऊपर चुकाते हैं।
3,Easy,लोन की बेसिक बातें,लोन के लिए गिरवी (collateral) रखने का इनमें से क्या मतलब है?,उधार लेने वाले का दस्तखत,एक कार,एक अच्छा क्रेडिट स्कोर,B,एकदम सही! कार एक ऐसी चीज़ है जिसके बदले लोन मिल सकता है। अगर आप लोन नहीं चुकाते तो लेंडर आपकी कार ले सकता है।,गिरवी का मतलब कोई कीमती चीज़ होती है जो लेंडर रख सकता है अगर आप पैसे वापस नहीं देते। एक दस्तखत गिरवी नहीं है - कार है।,यह लोन को सुरक्षित करने के लिए इस्तेमाल की जाने वाली एक कीमती चीज़ है।
4,Medium,लोन की बेसिक बातें,आसान भाषा में 'अमॉर्टाइज़ेशन' (amortization) क्या है?,समय के साथ किस्तों में लोन चुकाने का पूरा हिसाब,एक तरह का ब्याज़ दर (interest rate),लोन जल्दी चुकाने पर लगने वाला ज़ुर्माना,A,सही पकड़े! अमॉर्टाइज़ेशन यह दिखाता है कि आपकी लोन पेमेंट कैसे कई सालों में बंटी हुई है। हर पेमेंट से आपका कर्ज़ थोड़ा-थोड़ा कम होता है।,अमॉर्टाइज़ेशन का मतलब है पेमेंट का पूरा शेड्यूल। यह कोई ज़ुर्माना या ब्याज़ दर नहीं है - यह पूरा लोन धीरे-धीरे चुकाने का प्लान है।,यह बताता है कि आपकी EMI कैसे मूल रक़म और ब्याज़ में बंटती है।
5,Medium,लोन की बेसिक बातें,लोन पर 'डिफ़ॉल्ट' (default) होने का क्या मतलब है?,पेमेंट कम कराने के लिए बातचीत करना,तय की गई शर्तों के हिसाब से लोन न चुका पाना,लोन को रीफाइनेंस कराना,B,बिलकुल सही! डिफ़ॉल्ट होने का मतलब है कि आपने पेमेंट न करके लोन का एग्रीमेंट तोड़ा है। इसका आपके क्रेडिट पर बहुत बुरा असर पड़ता है।,डिफ़ॉल्ट तब होता है जब आप वादे के मुताबिक पेमेंट करना बंद कर देते हैं। यह बातचीत करने या रीफाइनेंस के बारे में नहीं है - यह एग्रीमेंट तोड़ने के बारे में है।,यह तब होता है जब उधार लेने वाला अपनी पेमेंट समय पर नहीं करता।
6,Hard,लोन की बेसिक बातें,10 साल के लोन में अगर ब्याज़ दरें गिरती हैं तो फिक्स्ड-रेट और वेरिएबल-रेट में से किसमें कम पैसा लगेगा?,फिक्स्ड-रेट लोन,वेरिएबल-रेट लोन,यह लेंडर पर निर्भर करता है,B,बढ़िया सोचा! अगर ब्याज़ दरें गिरती हैं तो वेरिएबल-रेट लोन आपके पैसे बचाता है क्योंकि आपका ब्याज़ भी कम हो जाता है। फिक्स्ड-रेट उतना ही रहता है।,अगर ब्याज़ दरें गिरती हैं तो वेरिएबल-रेट लोन सस्ता हो जाता है क्योंकि आपकी ब्याज़ दर समय के साथ घट जाती है। फिक्स्ड रेट लॉक रहता है।,सोचिए कि जब बाज़ार में ब्याज़ दरें कम होती हैं तो क्या होता है।
7,Easy,लेंडर क्या देखते हैं,जब आप लोन के लिए अप्लाई करते हैं तो लेंडर सबसे पहले क्या देखते हैं?,आपकी उम्र,आपकी पक्की इनकम और क्रेडिट हिस्ट्री,आप शादीशुदा हैं या नहीं,B,एकदम सही! लेंडर सबसे ज़्यादा इस बात की परवाह करते हैं कि आप लोन चुका भी सकते हैं या नहीं। आपकी इनकम और क्रेडिट हिस्ट्री बताती है कि आप भरोसेमंद हैं।,लेंडर को यह जानना ज़रूरी है कि क्या आप सच में पैसे वापस चुका पाएँगे। आपकी पक्की इनकम और क्रेडिट हिस्ट्री आपका ट्रैक रिकॉर्ड दिखाती है।,लेंडर को यह जानना होता है कि क्या आप पैसे वापस कर पाएँगे।
8,Easy,लेंडर क्या देखते हैं,डेट-टू-इनकम (DTI) रेशियो क्या है?,आपकी कुल संपत्ति,आपकी कमाई की तुलना में आपके हर महीने के खर्चे (कर्ज़),आपके सेविंग्स अकाउंट का बैलेंस,B,परफेक्ट! यह रेशियो लेंडर को दिखाता है कि आपकी कमाई का कितना हिस्सा पहले से ही कर्ज़ चुकाने में जा रहा है। अगर यह बहुत ज़्यादा है तो आप रिस्की माने जाते हैं।,डेट-टू-इनकम रेशियो मतलब आपकी महीने की कमाई और आपके महीने के कर्ज़ (जैसे EMI) का अनुपात। लेंडर इससे देखते हैं कि कहीं आप पर कर्ज़ का बोझ ज़्यादा तो नहीं है।,लेंडर इससे यह देखते हैं कि क्या आप नया कर्ज़ चुका पाएँगे।
9,Easy,लेंडर क्या देखते हैं,लेंडर आपकी नौकरी की हिस्ट्री (employment history) क्यों चेक करते हैं?,बस ऐसे ही,पक्की इनकम (stable income) है या नहीं यह पक्का करने के लिए,आप असल में कैसे इंसान हैं यह जानने के लिए,B,बिलकुल! पक्की नौकरी का मतलब है पक्की इनकम। बार-बार नौकरी बदलने से लेंडर को लगता है कि आप पर भरोसा नहीं किया जा सकता।,नौकरी की हिस्ट्री लेंडर को दिखाती है कि आपकी इनकम पक्की और भरोसेमंद है या नहीं। एक जगह टिक कर नौकरी करना बहुत अच्छा माना जाता है।,पक्की नौकरी का मतलब है पक्की इनकम से लोन चुकाने की गारंटी।
10,Medium,लेंडर क्या देखते हैं,'को-साइनर' (Co-signer) कौन होता है और उसकी ज़रूरत क्यों पड़ती है?,कोई जो आपके बदले लोन चुकाता है,कोई जो गारंटी लेता है कि अगर आप लोन नहीं चुका पाए तो वह चुकाएगा,आपका अकाउंटेंट,B,सही कहा! को-साइनर या गारंटर ज़िम्मेदारी लेता है कि अगर आप पेमेंट नहीं कर पाए तो वह करेगा। वह अपने अच्छे क्रेडिट पर आपके लिए गारंटी दे रहा है।,को-साइनर वह होता है जिसका क्रेडिट स्कोर आपसे अच्छा होता है और जो वादा करता है कि अगर आप लोन नहीं चुका पाए तो वह आपकी जगह पेमेंट करेगा।,वह कर्ज़ की कानूनी ज़िम्मेदारी शेयर करता है।
11,Medium,लेंडर क्या देखते हैं,ज़्यादा डाउन पेमेंट देने से लोन अप्रूवल के चांस पर क्या असर पड़ता है?,चांस कम हो जाते हैं,चांस बढ़ जाते हैं और आपको लोन कम लेना पड़ता है,कोई असर नहीं पड़ता,B,सही! ज़्यादा डाउन पेमेंट दिखाने का मतलब है कि आप खुद भी पैसा लगा रहे हैं और आपको उधार भी कम चाहिए। लेंडर को यह बहुत पसंद आता है।,शुरुआत में ज़्यादा पैसे देने का मतलब है कि आप कम उधार ले रहे हैं और लेंडर का रिस्क कम है। इससे लोन मिलने का चांस बढ़ जाता है।,ज़्यादा पैसे पहले देने का मतलब है कि आपको कम उधार लेना पड़ेगा।
12,Hard,लेंडर क्या देखते हैं,अगर दो लोगों का क्रेडिट स्कोर एक जैसा है लेकिन एक का DTI (खर्चे/कमाई का अनुपात) कम है तो किसे लोन मिलने का चांस ज़्यादा है?,जिसका DTI ज़्यादा है,जिसका DTI कम है,दोनों को बराबर चांस मिलेगा,B,बढ़िया सोचा! DTI कम होने का मतलब है कि आपके पास अपनी इनकम का ज़्यादा हिस्सा बचा हुआ है। लेंडर ऐसे लोगों को पसंद करते हैं जिनके पास नया कर्ज़ चुकाने की गुंजाइश हो।,जब DTI कम होता है तो आपके मौजूदा कर्ज़ चुकाने के बाद भी आपके पास ज़्यादा इनकम बचती है। यह आपको नए लोन के लिए एक सेफ कैंडिडेट बनाता है।,सोचिए कि किसके पास पुराने कर्ज़ चुकाने के बाद ज़्यादा पैसे बचते हैं।
13,Easy,क्रेडिट स्कोर,आम तौर पर क्रेडिट स्कोर की रेंज क्या होती है?,0-100,300-850,500-1000,B,सही! क्रेडिट स्कोर 300 से 850 के बीच होता है। जितना ज़्यादा हो उतना अच्छा। 750 से ऊपर का स्कोर 'बहुत अच्छा' माना जाता है।,क्रेडिट स्कोर का पैमाना 300 से 850 तक होता है। यह रेंज जानने से आपको पता चलता है कि आप कहाँ पर हैं।,यह रेंज 300 से शुरू होकर 850 तक जाती है।
14,Easy,क्रेडिट स्कोर,आपके क्रेडिट स्कोर में 'पेमेंट हिस्ट्री' (payment history) का कितना हिस्सा होता है?,15%,35%,65%,B,बिल्कुल! पेमेंट हिस्ट्री आपके स्कोर का सबसे बड़ा हिस्सा है। एक बार भी पेमेंट लेट होने से आपका स्कोर काफ़ी गिर सकता है।,पेमेंट हिस्ट्री सबसे ज़रूरी है क्योंकि यह लेंडर को दिखाती है कि आप वादे के मुताबिक पेमेंट करते हैं या नहीं। यह आपके स्कोर का 35% हिस्सा है।,यह आपके स्कोर का सबसे ज़रूरी हिस्सा है।
15,Medium,क्रेडिट स्कोर,पेमेंट में देरी जैसी खराब चीज़ें (negative items) आपकी क्रेडिट रिपोर्ट पर कितने समय तक रहती हैं?,1 साल,3 साल,7 साल,C,सही! ज़्यादातर खराब एंट्री जैसे कि पेमेंट मिस होना 7 साल तक रिपोर्ट पर रहती हैं। इसलिए समय पर पेमेंट करना बहुत ज़रूरी है।,पेमेंट में देरी जैसी खराब चीज़ें 7 साल तक आपका पीछा नहीं छोड़तीं। इसीलिए पेमेंट को लेकर सावधान रहना बहुत ज़रूरी है।,ज़्यादातर खराब एंट्री इसी समय तक रहती हैं।
16,Medium,क्रेडिट स्कोर,'क्रेडिट यूटिलाइज़ेशन' (Credit Utilization) क्या है और कितना सही माना जाता है?,अपनी क्रेडिट लिमिट का 80% इस्तेमाल करना,अपनी कुल क्रेडिट लिमिट का 30% या उससे कम इस्तेमाल करना,अपनी क्रेडिट लिमिट का 100% इस्तेमाल करना,B,परफेक्ट! अपनी लिमिट का 30% से कम इस्तेमाल करना यह दिखाता है कि आप क्रेडिट के भूखे नहीं हैं। यह पैसे मैनेज करने का सबसे अच्छा तरीका है।,30% से कम क्रेडिट इस्तेमाल करना यह दिखाता है कि आप अपने पैसे ठीक से मैनेज कर रहे हैं। इससे ज़्यादा इस्तेमाल करने पर लेंडर आपको रिस्की मानते हैं।,लेंडर को यह रेशियो 30% से कम ही पसंद आता है।
17,Hard,क्रेडिट स्कोर,अगर आप पुराने 'कलेक्शन अकाउंट' (collections accounts) का पूरा पैसा चुका देते हैं तो क्या आपका क्रेडिट स्कोर तुरंत सुधर जाता है?,हाँ तुरंत सुधर जाता है,नहीं लेकिन यह भविष्य में लोन लेने में मदद करता है,कलेक्शन से स्कोर हमेशा गिर जाता है,B,सही समझ! कलेक्शन का पैसा चुकाना अच्छी बात है लेकिन वो 'खराब एंट्री' आपकी रिपोर्ट पर बनी रहती है। हालाँकि भविष्य के लेंडर यह देख सकते हैं कि आपने अपनी ज़िम्मेदारी पूरी की।,कलेक्शन का पैसा चुकाना अच्छा है लेकिन यह आपकी पुरानी हिस्ट्री को मिटा नहीं सकता। ज़रूरी यह है कि आप अपने भविष्य के लिए अभी से सही कदम उठा रहे हैं।,सोचिए कि क्या पुराना कर्ज़ चुकाने से आपका अतीत मिट सकता है।
18,Easy,क्रेडिट के अलावा फैक्टर,क्रेडिट स्कोर के अलावा लेंडर और क्या देखते हैं?,आपका पसंदीदा रंग,इनकम नौकरी की हिस्ट्री और कर्ज़ का लेवल,आपकी सोशल मीडिया प्रोफाइल,B,सही! लेंडर सिर्फ़ आपके क्रेडिट स्कोर के अलावा यह भी देखते हैं कि आप पैसों के मामले में कितने स्थिर हैं। इन सब चीज़ों से आपकी पूरी तस्वीर साफ़ होती है।,लेंडर आपकी पूरी फायनेंशियल हालत देखते हैं। आपकी पक्की नौकरी और आपके मौजूदा कर्ज़ ये सब भी उतने ही ज़रूरी हैं जितना आपका क्रेडिट स्कोर।,पैसे चुकाने की आपकी असली औकात स्कोर से ज़्यादा ज़रूरी है।
